I II V1 V2 V3 V4 V5 V6
-1 -14 15 66 29 13 20 18
-4 -15 13 62 26 9 18 16
-10 -16 15 56 25 8 17 16
-17 -16 19 57 26 8 17 17
-22 -22 18 58 24 10 17 17
-25 -23 16 55 21 8 15 16
-23 -24 16 49 17 5 13 14
-24 -25 17 42 14 3 12 12
-27 -28 15 39 11 1 9 11
-31 -30 16 40 9 0 8 13
-33 -26 15 43 8 -2 7 12
-33 -28 16 41 8 -3 6 8
-32 -31 17 38 8 -4 6 8
-37 -32 19 40 8 -6 4 7
-37 -33 16 36 4 -10 1 4
-35 -33 13 31 2 -12 0 2
-35 -33 15 27 -1 -12 1 4
-39 -35 15 22 -4 -11 0 3
-44 -39 14 23 -6 -13 2 3
-43 -37 15 29 -4 -11 1 4
-43 -35 13 28 -4 -12 0 4
-41 -35 13 23 -6 -13 -1 1
-41 -39 11 18 -7 -14 -3 0
-43 -37 12 24 -4 -14 -3 1
-46 -37 13 27 -4 -14 -3 1
-51 -38 13 26 -5 -15 -5 0
-51 -37 14 23 -6 -15 -6 -1
-52 -38 16 24 -6 -14 -6 -1
-52 -42 13 18 -10 -19 -7 -2
-46 -40 13 16 -10 -21 -8 -1
-43 -42 13 15 -12 -22 -11 -4
-35 -42 8 12 -19 -25 -14 -8
-31 -41 9 13 -19 -24 -13 -7
-35 -39 10 14 -14 -23 -13 -7
-40 -39 10 16 -13 -21 -10 -5
-42 -40 9 15 -12 -20 -11 -6
-43 -40 9 15 -13 -20 -11 -7
-43 -40 12 15 -15 -20 -11 -5
-45 -41 11 11 -16 -22 -12 -7
-48 -42 16 15 -14 -19 -9 -5
-52 -44 18 19 -14 -17 -7 -3
-50 -44 16 17 -14 -20 -8 -5
-47 -40 17 13 -18 -20 -10 -6
-52 -37 19 14 -15 -18 -10 -4
-53 -41 18 17 -15 -18 -8 -5
-45 -39 17 18 -15 -18 -9 -4
-37 -38 14 17 -15 -20 -10 -4
-39 -39 16 17 -17 -20 -11 -4
-47 -44 15 15 -18 -19 -11 -7
-46 -39 16 15 -16 -19 -12 -7
-45 -38 16 15 -17 -19 -11 -7
-47 -42 17 17 -16 -18 -11 -7
-43 -42 18 19 -16 -16 -9 -4
-43 -39 23 25 -11 -13 -6 0
-43 -36 22 27 -12 -14 -7 -5
-42 -36 21 26 -13 -16 -9 -7
-43 -36 24 26 -11 -16 -8 -5
-43 -37 24 21 -14 -15 -10 -7
-38 -36 21 18 -16 -17 -11 -8
-40 -36 20 17 -17 -16 -10 -2
-48 -36 21 13 -17 -14 -8 -3
-53 -36 23 19 -13 -8 -4 -1
-56 -37 22 27 -9 -7 -3 0
-54 -34 22 30 -7 -7 -3 1
-45 -34 19 25 -6 -9 -5 -2
-42 -34 17 19 -10 -10 -5 -4
-38 -32 18 20 -11 -9 -4 -4
-42 -32 20 21 -8 -8 -4 -3
-44 -32 20 23 -9 -7 -4 -2
-45 -33 22 25 -8 -6 -3 0
-47 -36 20 23 -9 -9 -5 -4
-41 -33 19 20 -7 -10 -7 -4
-30 -29 17 18 -9 -10 -7 -3
-29 -30 17 17 -10 -12 -9 -5
-29 -31 16 17 -9 -10 -8 -4
-31 -29 17 19 -8 -9 -5 -2
-36 -27 18 22 -6 -8 -3 -1
-34 -25 20 24 -5 -6 -3 0
-36 -30 17 20 -8 -7 -4 -3
-37 -28 20 22 -6 -7 -3 -2
-37 -26 21 23 -5 -7 -2 -2
-40 -28 21 22 -5 -7 -3 -3
-37 -24 20 22 -4 -5 -2 -1
-35 -25 21 23 -2 -5 -2 -1
-32 -28 20 21 -4 -7 -3 -4
-32 -27 19 20 -4 -7 -1 0
-35 -26 18 19 -3 -6 0 1
-34 -22 20 21 -3 -3 0 -2
-33 -22 16 17 -7 -6 -2 -5
-32 -26 17 20 -5 -6 -2 -3
-31 -23 20 25 -1 -5 1 -2
-34 -25 18 22 -4 -7 -2 -5
-35 -28 17 20 -4 -7 -1 -4
-36 -24 21 21 -4 -6 0 2
-39 -25 22 20 -2 -6 0 1
-37 -22 22 23 1 -5 2 -3
-36 -21 22 23 -2 -5 3 -2
-38 -22 23 20 -4 -5 1 -4
-39 -23 21 16 -5 -6 1 -4
-42 -21 22 17 -4 -4 2 1
-42 -21 24 22 0 -2 5 0
-38 -23 22 21 2 -4 3 -1
-31 -22 19 18 -6 -8 0 -3
-25 -17 21 20 -3 -6 2 -3
-29 -23 19 16 -4 -7 -1 -5
-31 -18 17 11 -7 -8 0 -6
-29 -16 18 13 -4 -4 4 -2
-35 -20 18 15 -5 -5 3 -2
-36 -26 16 12 -8 -7 2 -5
-29 -23 15 13 -9 -8 0 -6
-29 -21 14 13 -8 -9 0 -8
-27 -18 16 12 -6 -9 -1 -7
-26 -21 17 9 -7 -7 1 -5
-30 -20 19 11 -4 -5 3 -4
-33 -19 18 15 -4 -4 4 -3
-32 -19 17 14 -5 -4 5 -3
-32 -18 18 14 -5 -2 7 -1
-31 -17 19 14 -6 -3 5 -3
-32 -21 14 9 -11 -7 2 -7
-26 -19 14 10 -12 -7 1 -7
-28 -19 15 11 -8 -6 1 -6
-30 -19 16 11 -10 -6 2 -7
-31 -18 17 11 -9 -5 4 -4
-32 -19 17 9 -9 -4 3 -6
-29 -18 17 8 -9 -2 3 -5
-26 -16 15 8 -9 -2 3 -6
-27 -18 14 7 -10 -5 1 -7
-27 -16 17 5 -10 -4 3 -7
-32 -19 14 0 -14 -7 1 -5
-35 -18 13 3 -12 -4 4 -4
-39 -18 15 7 -9 -1 7 -4
-40 -20 14 7 -10 -1 7 -4
-35 -20 11 7 -12 -4 4 -4
-34 -19 13 8 -10 -1 6 -4
-33 -19 14 9 -9 -1 7 -4
-25 -16 10 6 -13 -5 3 -7
-22 -17 9 4 -14 -7 0 -4
-22 -17 11 5 -15 -6 0 -3
-20 -16 12 5 -15 -5 0 -8
-28 -21 10 0 -15 -7 0 -10
-25 -18 10 1 -13 -6 1 -8
-28 -17 12 4 -13 -2 4 -5
-30 -18 9 1 -15 -4 3 -6
-30 -16 12 5 -12 -1 4 -6
-30 -15 13 9 -10 1 7 -4
-27 -11 12 8 -10 1 7 -3
-26 -9 14 8 -8 2 7 -2
-26 -11 14 6 -10 -1 5 -6
-24 -12 12 5 -12 -2 6 -5
-24 -11 14 4 -11 -1 6 -4
-25 -10 14 4 -10 -1 5 -5
-24 -11 14 3 -12 -2 5 -7
-20 -11 10 1 -14 -3 3 -6
-21 -8 13 4 -10 1 6 -4
-21 -6 15 7 -9 2 7 -4
-23 -5 13 8 -11 0 6 -5
-22 -3 14 9 -8 1 7 -2
-21 -3 15 8 -8 1 7 -3
-14 -4 10 2 -12 -1 5 -6
-7 0 11 -1 -10 0 7 -5
-9 -2 10 3 -10 -1 4 -6
-7 -4 7 1 -13 -3 1 -9
-5 -5 6 0 -13 -3 1 -10
-9 -2 8 3 -13 -2 3 -8
-18 -5 11 6 -9 2 6 -4
-19 -2 11 4 -9 4 8 -3
-18 -1 8 1 -10 1 4 -6
-19 -1 10 3 -10 0 7 -6
-18 -3 8 3 -13 0 6 -5
-15 -2 9 3 -12 2 8 -2
-10 1 9 3 -12 1 7 -1
-11 3 8 2 -14 -1 8 -6
-10 -1 8 2 -13 1 8 -3
-11 0 10 4 -10 3 10 -3
-9 3 10 3 -11 2 9 -4
-13 3 10 5 -11 3 10 -3
-16 1 9 5 -10 2 10 -3
-17 2 11 5 -9 2 11 -3
-15 3 11 1 -11 3 10 -3
-15 1 10 0 -12 3 10 -3
-7 3 10 2 -11 3 11 -3
-8 2 9 3 -12 3 12 -4
-7 4 9 1 -11 3 12 -2
-5 9 11 4 -9 5 15 -1
-7 9 12 5 -8 6 16 -1
-7 8 10 3 -9 5 16 -1
-4 10 9 -1 -8 4 14 -2
-11 8 8 -2 -12 2 13 -3
-14 5 10 -1 -13 3 13 0
-17 7 13 4 -10 6 16 1
-21 7 15 7 -7 8 16 2
-20 7 14 7 -6 9 18 2
-19 6 13 2 -8 8 17 5
-17 10 16 5 -5 10 20 3
-14 10 15 4 -7 9 17 1
0 7 7 -2 -14 3 12 -5
12 9 4 -5 -16 -1 9 -7
11 11 4 -5 -16 -1 10 -8
7 8 4 -8 -18 0 11 -6
7 12 4 -9 -19 1 12 -6
1 10 5 -7 -14 2 13 -5
-2 8 4 -6 -17 1 14 -6
-3 8 7 -2 -14 4 16 -2
-6 11 8 6 -11 7 18 -1
-7 11 9 7 -8 7 17 -1
-8 12 10 5 -8 8 18 0
-7 13 12 -2 -9 7 18 1
-7 13 11 -5 -13 6 17 2
-7 9 9 -5 -15 5 17 0
-2 9 7 -4 -15 4 18 -3
-5 7 9 -1 -12 5 18 -3
-7 8 6 -3 -15 2 14 -5
-1 10 6 -7 -17 1 14 -4
-1 12 7 -5 -15 2 16 -4
-5 12 9 -5 -13 2 16 -3
-1 14 8 -5 -14 3 17 -2
0 9 7 -4 -13 4 17 -2
-3 10 11 -2 -12 5 19 0
1 10 11 -3 -14 3 16 0
2 10 8 -3 -17 0 12 -1
2 12 10 -3 -15 2 15 -2
2 8 9 -7 -16 1 15 -2
0 7 7 -11 -18 -1 12 -4
-1 9 9 -6 -13 2 15 -1
-6 5 11 -3 -12 2 14 1
-2 9 11 -1 -12 3 16 0
1 15 13 0 -10 5 18 1
-4 10 11 -4 -10 1 13 -3
2 8 8 -5 -14 -1 13 -4
4 10 8 -3 -14 -1 13 -3
-2 8 9 -5 -15 0 14 -3
3 11 7 -5 -14 -1 12 -3
4 8 5 -7 -17 -2 11 -4
0 6 7 -3 -15 0 12 -2
2 10 9 -2 -13 2 14 0
0 7 8 -1 -14 1 13 0
3 13 7 -4 -14 -1 11 -3
2 14 8 -3 -17 -2 10 -2
2 7 8 -5 -17 -1 10 -1
4 11 11 -2 -15 1 12 2
5 12 13 0 -13 0 13 2
6 11 15 1 -13 0 13 3
5 11 17 2 -11 3 14 7
-3 17 21 7 -9 7 18 7
-4 16 23 7 -6 10 22 9
-7 18 26 6 -6 11 22 10
-16 15 29 8 -3 13 23 12
-16 18 30 12 -1 13 23 12
