I II V1 V2 V3 V4 V5 V6
11 -9 11 51 21 0 -12 -14
11 -9 11 52 21 0 -12 -14
11 -9 11 53 21 1 -11 -14
11 -8 11 54 22 2 -10 -13
11 -8 11 55 22 3 -9 -13
11 -8 11 56 22 3 -8 -13
11 -7 12 58 23 4 -7 -12
11 -7 12 59 24 4 -7 -11
11 -6 12 60 25 4 -7 -11
11 -6 12 61 26 4 -7 -10
11 -6 12 62 26 4 -7 -10
12 -5 12 63 27 3 -8 -9
12 -4 12 63 27 3 -8 -9
12 -4 13 62 27 4 -8 -8
12 -3 13 62 27 4 -8 -8
12 -3 13 62 27 4 -8 -8
12 -2 14 61 26 5 -7 -7
12 -2 14 61 26 5 -7 -7
12 -2 14 61 26 5 -7 -7
12 -2 14 61 26 5 -7 -7
12 -2 14 61 26 5 -7 -7
12 1 15 60 25 4 -7 -7
11 2 14 58 24 3 -7 -7
11 4 14 57 23 2 -7 -7
10 5 13 55 22 1 -7 -7
10 6 13 54 21 0 -7 -7
9 7 12 53 20 -2 -8 -8
9 6 12 52 20 -2 -8 -8
9 5 12 51 19 0 -8 -8
9 4 12 50 19 0 -8 -8
9 4 12 49 19 0 -8 -8
9 3 12 47 18 1 -7 -7
9 4 12 46 18 2 -6 -6
9 4 12 45 17 3 -5 -5
9 5 12 44 17 4 -4 -4
9 5 12 43 17 4 -4 -4
10 6 12 40 16 5 -3 -3
10 5 12 38 16 5 -3 -4
10 5 12 36 16 4 -3 -5
10 4 12 34 16 4 -3 -6
10 4 12 33 16 4 -3 -6
9 3 12 31 15 3 -4 -7
9 3 11 29 14 3 -4 -7
9 3 11 27 13 3 -4 -6
9 3 10 25 12 3 -4 -6
9 3 10 23 11 3 -4 -6
7 2 9 22 10 3 -3 -5
6 1 9 21 9 3 -3 -5
4 0 9 20 8 3 -3 -5
3 -2 9 19 7 3 -3 -5
2 -3 9 18 7 3 -3 -5
1 -4 10 16 5 3 -4 -6
1 -4 10 14 3 2 -5 -6
1 -4 9 12 2 1 -6 -7
1 -4 9 10 0 0 -7 -7
1 -4 9 8 -2 -2 -7 -7
1 -5 8 7 -3 -3 -8 -8
1 -6 8 7 -3 -4 -9 -9
0 -6 8 6 -4 -5 -10 -10
0 -7 8 6 -4 -6 -11 -11
0 -7 8 6 -4 -6 -12 -12
-2 -8 7 5 -5 -7 -13 -13
-3 -8 7 4 -5 -7 -13 -13
-3 -8 7 3 -5 -7 -13 -13
-4 -8 7 2 -5 -7 -13 -13
-4 -8 7 2 -5 -7 -13 -13
-5 -9 6 1 -6 -7 -14 -12
-5 -9 6 1 -6 -8 -14 -13
-5 -9 6 2 -6 -8 -14 -13
-5 -9 6 2 -6 -9 -14 -14
-5 -9 6 2 -6 -9 -14 -14
-5 -10 6 3 -7 -10 -13 -15
-5 -10 5 2 -7 -10 -13 -15
-5 -9 5 1 -7 -9 -12 -15
-5 -9 4 0 -7 -9 -12 -15
-5 -9 4 0 -7 -9 -12 -15
-6 -8 3 -2 -7 -8 -11 -15
-6 -8 4 0 -7 -7 -11 -15
-6 -8 5 1 -6 -7 -10 -14
-6 -8 6 2 -6 -6 -10 -14
-6 -8 7 2 -6 -6 -10 -14
-6 -9 8 3 -5 -5 -9 -13
-6 -9 8 3 -5 -5 -9 -13
-5 -9 8 3 -5 -5 -9 -13
-5 -9 8 3 -5 -5 -9 -13
-5 -9 8 3 -5 -5 -9 -13
-4 -10 8 2 -4 -4 -9 -12
-4 -10 8 3 -4 -4 -9 -12
-4 -9 8 3 -4 -4 -9 -12
-4 -9 8 4 -4 -4 -9 -12
-4 -9 8 4 -4 -4 -9 -12
-5 -8 8 5 -3 -4 -9 -12
-5 -8 8 4 -3 -4 -9 -12
-4 -8 8 4 -3 -3 -8 -12
-4 -8 8 3 -3 -3 -8 -12
-4 -8 8 3 -3 -3 -8 -12
-3 -8 7 2 -3 -2 -7 -11
-3 -8 7 2 -3 -2 -7 -11
-3 -8 8 3 -2 -3 -7 -11
-3 -8 8 3 -2 -3 -7 -11
-3 -8 8 3 -2 -3 -7 -11
-3 -7 9 4 0 -3 -6 -10
-3 -5 10 4 1 -2 -5 -9
-4 -3 10 4 1 0 -4 -8
-4 0 11 4 2 1 -3 -7
-4 1 11 4 2 2 -2 -7
-5 2 12 4 3 3 0 -6
-5 2 13 5 3 2 -2 -6
-5 3 13 5 3 2 -2 -6
-5 3 14 6 3 1 -3 -6
-5 3 14 6 3 1 -3 -6
-4 4 15 7 3 0 -4 -7
-4 5 15 7 3 1 -3 -6
-4 5 16 7 4 1 -2 -5
-4 6 16 7 4 2 0 -4
-4 6 16 7 4 2 1 -3
-3 8 17 6 5 3 2 -2
-2 10 16 6 5 3 2 -2
0 11 15 5 6 4 2 -2
1 13 14 5 6 4 2 -2
1 14 13 5 6 4 2 -2
2 15 10 2 6 5 3 0
2 15 7 0 3 4 2 0
3 15 4 -4 1 3 2 0
3 15 1 -7 -2 2 1 0
3 15 -3 -9 -4 1 1 0
4 15 -4 -10 -5 0 0 1
4 14 -4 -10 -5 -2 0 1
4 14 -3 -10 -6 -2 0 1
4 13 -3 -10 -6 -3 0 1
4 13 -3 -10 -6 -3 0 1
4 12 -2 -10 -7 -4 -2 1
5 13 -3 -11 -7 -4 0 2
7 13 -3 -12 -8 -4 0 4
8 14 -4 -13 -8 -4 1 5
9 14 -4 -13 -8 -4 1 6
10 13 -4 -13 -9 -3 2 7
9 9 -3 -11 -8 -3 2 6
9 6 -2 -9 -7 -3 2 5
8 3 0 -8 -6 -3 2 4
8 0 1 -6 -6 -3 2 3
6 -2 2 -5 -5 -4 1 1
5 -3 2 -6 -6 -5 0 0
3 -4 2 -7 -7 -6 -2 -3
2 -5 2 -8 -8 -7 -3 -4
1 -6 2 -8 -8 -7 -4 -5
0 -8 2 -10 -10 -9 -6 -7
-2 -9 1 -11 -12 -12 -9 -9
-3 -11 0 -12 -13 -14 -11 -10
-4 -12 -2 -13 -15 -16 -13 -12
-5 -13 -3 -14 -16 -18 -15 -13
-6 -14 -4 -15 -17 -19 -16 -14
-6 -14 -4 -15 -17 -19 -16 -14
-6 -14 -5 -16 -17 -19 -15 -14
-6 -14 -5 -16 -17 -19 -15 -14
-6 -14 -5 -16 -17 -19 -15 -14
-7 -16 -6 -17 -18 -18 -14 -14
-7 -17 -5 -16 -17 -18 -15 -14
-7 -18 -4 -16 -17 -19 -15 -14
-7 -19 -3 -15 -16 -19 -16 -14
-7 -20 -3 -15 -16 -19 -16 -14
-8 -21 -2 -14 -15 -20 -17 -15
-8 -22 -2 -14 -15 -20 -17 -15
-8 -23 -2 -14 -16 -20 -16 -14
-8 -24 -2 -14 -16 -20 -16 -14
-8 -24 -2 -14 -16 -20 -16 -14
-8 -25 -3 -14 -17 -20 -15 -13
-8 -25 -3 -14 -17 -20 -15 -14
-8 -25 -2 -14 -16 -20 -16 -14
-8 -25 -2 -14 -16 -20 -16 -15
-8 -25 -2 -14 -16 -20 -16 -15
-9 -24 0 -13 -15 -21 -17 -16
-9 -24 0 -13 -15 -21 -17 -16
-9 -24 0 -13 -15 -21 -17 -16
-9 -24 0 -13 -15 -21 -17 -16
-9 -24 0 -13 -15 -21 -17 -16
-8 -26 0 -12 -15 -20 -17 -17
-6 -27 1 -9 -13 -19 -17 -17
-4 -28 3 -5 -11 -18 -18 -18
-3 -29 4 -2 -9 -17 -18 -18
0 -30 5 2 -7 -17 -18 -18
4 -27 11 18 9 -5 -9 -14
9 -22 18 35 26 10 5 -7
13 -17 25 54 43 24 17 1
17 -12 32 71 60 38 30 8
22 -7 39 90 77 52 44 15
34 12 38 94 100 80 71 36
48 32 33 95 122 111 102 59
62 52 28 97 146 143 134 81
75 72 24 99 169 174 164 105
89 93 19 100 192 204 195 128
95 112 1 67 181 212 210 147
100 130 -21 27 162 215 222 165
104 148 -43 -14 144 219 234 185
108 167 -64 -54 126 222 245 203
113 185 -86 -94 107 225 258 223
92 172 -95 -129 63 185 224 203
64 152 -101 -162 14 135 181 176
37 132 -107 -196 -34 86 138 148
10 112 -113 -230 -83 36 95 121
-17 93 -120 -264 -133 -14 52 94
-30 74 -119 -265 -151 -43 22 69
-39 56 -115 -259 -163 -67 -6 45
-50 38 -112 -252 -177 -92 -33 21
-59 20 -108 -245 -189 -116 -61 -3
-69 2 -105 -239 -201 -142 -89 -27
-67 -5 -98 -218 -190 -138 -89 -31
-62 -8 -89 -195 -172 -129 -82 -32
-56 -12 -80 -172 -154 -118 -76 -33
-51 -16 -72 -148 -136 -109 -71 -34
-45 -20 -64 -124 -117 -99 -65 -35
-39 -21 -55 -107 -103 -90 -58 -34
-34 -21 -45 -90 -89 -80 -52 -31
-28 -21 -34 -73 -74 -72 -45 -29
-23 -21 -25 -56 -60 -63 -38 -26
-17 -21 -15 -38 -46 -54 -32 -23
-16 -22 -12 -31 -39 -51 -29 -22
-15 -23 -9 -26 -35 -48 -27 -21
-14 -24 -7 -21 -31 -46 -25 -21
-13 -25 -4 -16 -27 -44 -24 -20
-13 -25 -2 -11 -23 -41 -22 -20
-12 -26 0 -9 -21 -40 -21 -19
-12 -26 1 -8 -20 -38 -20 -19
-11 -26 2 -6 -19 -37 -20 -19
-11 -26 3 -4 -17 -36 -19 -19
-11 -26 3 -3 -16 -35 -19 -19
-10 -25 4 -2 -15 -34 -18 -18
-9 -25 4 1 -14 -33 -17 -18
-8 -25 4 2 -13 -32 -17 -18
-7 -25 4 3 -12 -31 -16 -18
-7 -25 4 4 -11 -31 -16 -18
-6 -24 4 5 -10 -30 -15 -17
-6 -23 5 5 -10 -30 -15 -17
-6 -23 5 5 -10 -30 -15 -17
-6 -22 6 5 -10 -30 -15 -17
-6 -22 6 5 -10 -30 -15 -17
-5 -21 7 6 -10 -30 -15 -17
-5 -21 7 6 -9 -29 -14 -17
-4 -21 7 7 -8 -29 -13 -16
-4 -21 7 7 -7 -28 -12 -16
-4 -21 7 7 -7 -28 -11 -16
-3 -21 8 8 -6 -27 -10 -15
-3 -21 8 9 -5 -26 -10 -15
-2 -21 9 10 -4 -25 -9 -14
-2 -21 9 11 -3 -24 -9 -14
-2 -21 9 12 -3 -23 -9 -14
0 -21 10 13 -2 -22 -8 -13
0 -21 10 14 0 -21 -8 -13
-2 -20 10 15 0 -21 -8 -13
-2 -20 10 16 1 -20 -8 -13
-2 -20 10 16 1 -20 -8 -13
-3 -19 9 17 2 -19 -8 -13
-3 -19 9 18 3 -19 -8 -13
-2 -19 10 18 4 -18 -8 -13
-2 -19 10 19 5 -18 -8 -13
-2 -19 10 19 6 -18 -8 -13
0 -18 11 20 7 -17 -7 -13
0 -18 11 21 8 -16 -6 -13
0 -18 11 22 9 -15 -6 -13
0 -18 11 23 10 -14 -5 -13
0 -18 11 24 10 -14 -5 -13
1 -17 11 26 11 -13 -4 -12
1 -17 11 28 12 -13 -4 -12
1 -18 11 30 13 -13 -3 -12
1 -18 11 31 14 -13 -3 -12
1 -18 11 33 15 -13 -3 -12
2 -19 12 35 17 -12 -2 -12
3 -19 12 36 18 -11 -2 -12
3 -19 13 38 19 -11 -2 -11
4 -19 13 40 21 -10 -2 -11
4 -19 13 42 22 -10 -2 -11
5 -19 14 44 23 -9 0 -10
6 -18 14 45 24 -9 0 -10
6 -18 14 47 25 -9 0 -9
7 -17 14 49 26 -9 0 -9
7 -17 14 50 27 -9 0 -9
8 -16 15 52 28 -8 1 -8
8 -15 15 53 30 -6 2 -8
8 -15 15 55 31 -5 3 -7
8 -14 15 57 32 -4 5 -7
8 -14 15 58 33 -3 6 -7
9 -13 16 59 34 -2 7 -6
10 -12 16 61 34 -2 7 -6
10 -12 17 62 34 -3 6 -6
11 -11 17 63 34 -3 6 -6
11 -11 17 64 34 -3 6 -6
12 -10 18 65 35 -4 5 -5
11 -10 18 65 35 -3 6 -4
11 -10 18 65 34 -3 6 -4
10 -10 18 65 34 -2 7 -3
10 -10 18 65 34 -2 7 -3
9 -11 18 65 33 0 8 -2
9 -10 18 65 33 0 7 -2
9 -9 18 64 32 -2 7 -2
9 -8 18 64 32 -2 6 -2
9 -8 18 64 32 -2 6 -2
8 -7 18 63 31 -3 5 -2
8 -7 18 61 30 -4 5 -2
7 -6 18 60 29 -5 5 -2
7 -6 18 59 28 -6 5 -2
7 -6 18 58 27 -6 5 -2
6 -5 18 57 26 -7 5 -2
6 -5 18 55 25 -7 5 -2
5 -5 18 54 25 -7 5 -2
5 -5 18 53 24 -7 5 -2
5 -5 18 52 24 -7 5 -2
4 -6 17 50 23 -7 5 -2
4 -6 17 49 23 -6 6 0
3 -6 17 47 22 -6 7 1
3 -6 17 45 22 -5 8 2
3 -6 17 44 22 -5 8 2
2 -6 18 42 21 -4 9 3
2 -6 18 40 21 -4 9 3
2 -6 18 39 21 -4 9 3
2 -6 18 37 21 -4 9 3
2 -6 18 36 21 -4 9 3
1 -6 17 34 21 -4 9 2
1 -6 17 32 20 -4 9 3
1 -6 16 29 20 -4 9 3
1 -6 16 27 19 -4 9 4
1 -6 16 25 19 -4 9 4
1 -6 15 23 17 -3 9 5
0 -7 15 22 16 -4 8 4
0 -7 14 20 15 -5 7 3
-2 -8 14 19 13 -5 6 2
-2 -8 14 17 12 -6 5 1
-3 -9 13 16 11 -7 4 0
-4 -11 13 14 9 -7 3 0
-5 -12 13 13 8 -8 3 -2
-5 -13 13 12 7 -8 2 -2
-6 -14 13 11 6 -8 2 -2
-7 -15 13 10 5 -9 1 -3
-7 -16 13 9 4 -10 0 -4
-7 -16 12 8 3 -10 0 -5
-7 -17 12 7 3 -11 -2 -5
-7 -17 12 6 2 -11 -2 -6
-8 -18 11 5 1 -12 -3 -7
-8 -18 11 5 1 -12 -3 -7
-9 -18 10 4 1 -12 -4 -7
-9 -18 10 4 1 -12 -4 -7
-9 -18 10 4 1 -12 -4 -7
-10 -17 9 3 0 -13 -5 -8
-10 -17 10 3 0 -13 -4 -7
-10 -16 10 3 1 -12 -4 -7
-10 -16 11 3 1 -12 -3 -6
-10 -16 11 3 1 -12 -3 -6
-9 -15 12 4 2 -11 -2 -5
-9 -15 12 4 2 -11 -2 -5
-9 -15 12 4 3 -11 -2 -5
-9 -15 12 4 3 -11 -2 -5
-9 -15 12 4 3 -11 -2 -5
-8 -15 12 4 4 -12 -2 -6
-8 -15 12 4 4 -12 -2 -6
-8 -14 12 4 4 -11 -2 -6
-8 -14 12 4 4 -11 -2 -6
