I II V1 V2 V3 V4 V5 V6
12 27 14 54 11 6 20 4
13 27 14 54 11 6 20 4
14 28 14 55 12 7 20 4
15 29 14 55 12 8 20 4
16 30 14 56 13 9 20 4
17 30 14 56 13 9 20 4
19 31 15 57 14 10 21 5
20 31 14 57 14 10 21 5
21 32 14 57 14 10 21 5
22 32 13 57 14 10 21 5
23 32 13 57 14 10 21 5
24 33 12 58 15 11 21 6
24 33 11 58 15 11 21 7
24 33 11 58 15 11 21 7
24 33 10 58 15 11 21 8
24 33 10 58 15 11 21 8
24 33 9 57 14 12 21 9
23 32 9 56 13 11 21 9
22 31 8 55 12 10 21 9
21 30 8 54 11 9 21 9
20 30 8 53 10 8 21 9
20 30 7 52 9 7 20 8
22 32 7 52 8 7 19 8
24 33 7 52 8 6 19 8
26 35 7 52 7 6 18 8
28 36 7 52 7 6 18 8
29 37 8 51 6 5 17 8
29 37 7 49 6 4 17 8
29 37 7 48 5 4 16 8
29 37 6 46 5 3 16 8
29 37 6 45 5 3 16 8
28 36 5 43 3 1 14 7
26 35 4 42 2 -2 12 6
24 34 3 40 1 -4 10 5
22 33 2 39 0 -6 8 4
21 32 2 38 -2 -7 6 3
20 31 1 36 -4 -9 5 2
19 31 1 34 -5 -10 4 1
18 31 1 33 -7 -12 3 1
17 31 1 31 -8 -13 2 0
17 31 1 30 -9 -14 2 0
16 32 0 29 -10 -15 1 -2
15 32 1 29 -10 -15 0 -3
15 32 1 28 -10 -15 -2 -4
14 32 2 28 -10 -15 -3 -5
14 32 2 28 -10 -15 -3 -5
13 30 3 27 -10 -16 -4 -6
13 28 4 28 -9 -15 -4 -6
12 27 5 29 -8 -14 -3 -6
12 25 6 30 -7 -13 -3 -6
12 24 6 30 -6 -12 -3 -6
11 23 7 31 -5 -11 -2 -5
10 23 8 31 -5 -11 -2 -6
9 23 9 30 -5 -11 -2 -6
8 23 10 30 -5 -11 -2 -7
8 23 11 30 -5 -11 -2 -7
6 23 12 29 -6 -10 -3 -8
4 22 12 29 -5 -9 -3 -8
2 20 12 29 -4 -8 -2 -8
0 19 12 29 -3 -7 -2 -8
-3 18 12 29 -2 -7 -2 -8
-3 17 13 29 0 -6 0 -9
0 18 13 30 0 -5 0 -10
2 18 14 30 1 -5 0 -10
4 19 14 31 1 -4 0 -11
5 19 14 31 1 -4 0 -11
5 20 15 32 2 -3 -2 -12
3 20 15 31 2 -3 -2 -12
2 20 15 30 2 -2 0 -12
0 20 15 29 2 -2 0 -12
