I II V1 V2 V3 V4 V5 V6
-5 4 5 17 0 7 18 5
-5 4 5 17 0 7 18 5
-5 4 5 17 0 7 19 6
-4 5 4 17 0 7 20 7
-4 5 4 17 0 7 21 8
-4 5 4 17 0 7 22 9
-3 7 3 16 1 8 23 10
-3 8 4 16 0 9 23 10
-3 10 5 16 0 9 23 10
-3 11 6 16 -2 10 23 10
-3 12 6 16 -2 10 23 10
-2 13 7 16 -3 12 24 10
-2 14 7 16 -2 13 26 11
-2 15 7 15 0 15 28 12
-2 16 7 15 1 16 30 13
-2 16 7 15 1 17 32 14
0 17 7 14 2 18 33 15
-2 16 7 13 1 18 33 15
-3 16 7 12 1 18 32 14
-4 15 7 11 0 18 32 14
-4 15 7 10 0 18 32 14
-5 15 7 9 0 18 31 13
-4 16 6 10 2 20 32 14
-3 18 6 11 3 21 33 15
-2 19 5 12 5 23 34 16
0 20 5 13 6 24 34 17
1 20 4 14 7 25 34 16
1 19 3 13 7 24 33 14
0 17 3 13 7 23 31 12
0 16 2 12 7 22 30 10
0 15 2 12 7 22 29 8
-2 13 1 11 7 21 27 7
-2 11 1 11 7 20 26 6
-2 10 0 11 7 19 25 5
-2 8 0 11 7 18 24 4
-2 7 0 11 7 18 23 4
-2 5 -2 11 7 16 21 1
-3 4 -3 10 6 15 19 -2
-4 2 -4 9 5 14 17 -5
-5 1 -5 8 4 13 15 -7
-5 0 -5 7 3 12 13 -9
-7 -3 -6 5 1 10 11 -10
-9 -4 -7 4 -2 8 9 -10
-11 -6 -7 3 -3 6 8 -11
-13 -7 -8 2 -5 4 6 -11
-14 -8 -8 1 -6 3 5 -11
-15 -9 -9 0 -7 2 4 -12
-14 -9 -9 0 -6 2 4 -12
-13 -9 -9 0 -5 2 4 -12
-12 -9 -9 0 -4 2 4 -12
-11 -9 -9 0 -4 2 4 -12
-10 -9 -10 1 -3 3 4 -11
-11 -10 -10 0 -4 2 3 -12
-12 -11 -10 -2 -5 1 2 -13
-13 -12 -10 -3 -6 0 1 -14
-14 -12 -10 -3 -7 -2 0 -14
-15 -13 -11 -4 -8 -3 -2 -15
-14 -12 -11 -4 -7 -3 0 -15
-14 -11 -11 -4 -7 -2 0 -14
-13 -10 -11 -4 -6 -2 1 -14
-13 -9 -11 -4 -6 -2 1 -14
-11 -8 -12 -3 -5 0 2 -13
-10 -8 -12 -4 -6 0 1 -13
-9 -8 -12 -4 -6 -2 0 -14
-8 -8 -12 -5 -7 -2 -2 -14
-7 -8 -12 -5 -7 -2 -2 -14
-8 -10 -11 -6 -8 -3 -3 -15
-10 -11 -11 -6 -9 -4 -3 -15
-12 -12 -12 -6 -10 -4 -4 -16
-14 -13 -12 -6 -11 -5 -4 -16
-16 -14 -12 -6 -11 -5 -4 -16
-17 -15 -13 -7 -12 -6 -5 -17
-16 -14 -13 -7 -11 -6 -5 -16
-15 -13 -13 -7 -11 -6 -5 -16
-14 -12 -13 -7 -10 -6 -5 -15
-14 -11 -13 -7 -10 -6 -5 -15
-13 -10 -13 -6 -9 -5 -6 -14
-12 -10 -12 -6 -9 -5 -6 -14
-12 -9 -11 -6 -9 -5 -5 -14
-11 -9 -10 -6 -9 -5 -5 -14
-11 -9 -9 -6 -9 -5 -5 -14
-10 -8 -8 -5 -8 -6 -5 -14
-11 -9 -9 -5 -9 -6 -6 -14
-11 -10 -10 -5 -9 -7 -7 -14
-12 -11 -11 -5 -10 -7 -8 -14
-12 -11 -11 -5 -10 -7 -9 -14
-13 -12 -12 -5 -11 -8 -10 -13
-12 -12 -12 -5 -11 -8 -9 -13
-12 -11 -11 -5 -11 -8 -8 -14
-11 -11 -11 -5 -11 -8 -7 -14
-11 -11 -11 -5 -11 -8 -7 -14
-10 -10 -10 -6 -10 -7 -6 -15
-10 -10 -9 -6 -9 -7 -6 -14
-10 -9 -9 -6 -8 -7 -7 -14
-10 -9 -8 -6 -7 -7 -7 -13
-10 -9 -8 -6 -7 -7 -7 -13
-11 -8 -7 -7 -6 -6 -8 -12
-12 -9 -7 -7 -6 -6 -8 -12
-13 -10 -7 -8 -7 -6 -8 -12
-14 -11 -7 -8 -7 -6 -8 -12
-15 -11 -7 -8 -7 -6 -8 -12
-15 -12 -8 -9 -8 -7 -7 -13
-14 -12 -8 -10 -9 -7 -7 -13
-12 -12 -9 -10 -9 -8 -8 -13
-11 -12 -9 -11 -10 -8 -8 -13
-10 -12 -9 -11 -10 -8 -8 -13
-9 -11 -10 -12 -11 -9 -9 -12
-10 -10 -9 -12 -11 -8 -9 -12
-11 -10 -8 -11 -10 -8 -9 -12
-12 -9 -7 -11 -10 -7 -9 -12
-13 -9 -7 -11 -10 -7 -9 -12
-14 -8 -6 -10 -9 -6 -8 -13
-13 -9 -6 -10 -9 -7 -8 -13
-12 -9 -6 -11 -10 -7 -9 -13
-11 -10 -6 -11 -10 -8 -9 -13
-11 -10 -6 -11 -10 -8 -9 -13
-10 -11 -6 -12 -11 -9 -10 -13
-10 -11 -6 -11 -11 -9 -10 -13
-10 -10 -6 -10 -11 -8 -9 -12
-10 -10 -6 -9 -11 -8 -9 -12
-10 -10 -6 -9 -11 -8 -9 -12
-9 -9 -6 -8 -10 -7 -8 -11
-7 -8 -5 -8 -9 -7 -8 -11
-6 -8 -5 -8 -9 -6 -8 -11
-4 -7 -4 -8 -8 -6 -8 -11
-3 -7 -4 -8 -8 -6 -8 -11
-2 -6 -3 -7 -7 -5 -7 -10
-2 -6 -2 -5 -6 -5 -7 -10
-2 -5 0 -4 -5 -4 -7 -10
-2 -5 1 -2 -4 -4 -7 -10
-2 -5 1 0 -4 -4 -7 -10
-3 -4 2 1 -3 -3 -6 -10
-3 -4 2 1 -2 -2 -6 -10
-3 -4 3 1 -2 -2 -5 -10
-3 -4 3 1 0 0 -5 -10
-3 -4 3 1 0 0 -5 -10
-3 -3 4 1 1 1 -4 -8
0 -2 3 1 1 1 -4 -7
1 -2 3 1 1 1 -4 -6
3 0 2 1 1 1 -4 -5
4 0 2 1 1 1 -4 -4
5 1 0 2 2 1 -3 -3
5 1 -2 1 2 1 -3 -3
6 1 -4 0 2 2 -2 -3
6 1 -5 -2 2 2 -2 -3
6 1 -6 -2 2 2 -2 -3
7 1 -7 -3 1 3 0 -4
6 0 -7 -4 0 2 -2 -4
5 -2 -7 -5 -2 1 -2 -4
4 -3 -7 -6 -3 0 -3 -4
3 -3 -7 -6 -4 0 -3 -4
4 -4 -6 -7 -5 -2 -4 -5
6 -4 -6 -7 -5 -3 -4 -5
8 -4 -6 -6 -5 -4 -4 -5
11 -4 -6 -6 -5 -5 -4 -5
13 -4 -6 -6 -5 -5 -4 -5
12 -4 -6 -5 -5 -6 -5 -4
9 -5 -5 -5 -5 -6 -5 -4
6 -6 -4 -5 -5 -6 -5 -4
3 -7 -3 -5 -5 -6 -5 -4
0 -7 -3 -5 -5 -6 -5 -4
-3 -8 -2 -5 -6 -6 -6 -6
-6 -8 0 -5 -6 -6 -7 -7
-8 -9 0 -6 -6 -7 -8 -9
-10 -9 1 -6 -6 -7 -9 -10
-12 -9 1 -6 -6 -7 -9 -11
-12 -10 2 -7 -7 -8 -10 -12
-11 -10 2 -7 -7 -9 -11 -12
-10 -9 3 -7 -8 -9 -11 -12
-9 -9 3 -7 -8 -10 -12 -12
-8 -9 3 -7 -8 -10 -12 -12
-8 -8 4 -8 -9 -11 -13 -12
-9 -9 4 -7 -9 -11 -13 -12
-10 -9 4 -7 -9 -10 -13 -12
-11 -10 4 -6 -9 -10 -13 -12
-12 -10 4 -6 -9 -10 -13 -12
-12 -11 5 -5 -10 -9 -12 -12
-11 -11 5 -5 -10 -9 -12 -12
-9 -11 5 -5 -9 -10 -12 -12
-7 -11 5 -5 -9 -10 -12 -12
-6 -11 5 -5 -9 -10 -12 -12
-7 -10 5 -5 -8 -11 -12 -12
-9 -10 5 -4 -8 -11 -12 -12
-11 -10 5 -2 -7 -10 -12 -12
-14 -10 5 1 -7 -10 -12 -12
-16 -10 5 2 -7 -10 -12 -12
-15 -8 11 17 12 5 -5 -11
-12 -5 18 34 33 21 6 -7
-9 0 25 51 55 38 16 -4
-6 3 32 68 76 55 26 1
-3 7 38 86 98 71 36 4
11 18 49 118 141 107 63 20
26 30 60 153 188 146 93 38
42 43 71 189 235 185 122 58
57 55 81 225 282 224 152 76
72 67 93 260 328 263 182 96
77 69 73 220 290 236 178 98
79 68 48 164 234 196 165 95
81 68 22 109 179 156 154 93
85 67 -4 54 123 116 142 91
87 67 -29 -2 67 77 130 89
72 53 -60 -63 2 29 93 71
53 36 -91 -126 -65 -21 51 51
33 20 -121 -188 -133 -71 9 30
14 3 -152 -251 -200 -121 -34 10
-6 -14 -183 -313 -268 -171 -76 -11
-10 -17 -173 -297 -258 -169 -78 -15
-11 -17 -154 -263 -230 -154 -72 -14
-12 -17 -136 -229 -203 -140 -66 -13
-13 -17 -117 -195 -177 -126 -61 -12
-13 -17 -99 -161 -150 -111 -55 -11
-13 -16 -81 -134 -127 -96 -48 -10
-10 -12 -65 -108 -104 -80 -40 -9
-8 -9 -49 -82 -81 -65 -33 -8
-6 -5 -31 -56 -59 -50 -26 -7
-4 -2 -15 -30 -36 -34 -19 -7
-3 -2 -9 -21 -28 -29 -17 -6
-3 -3 -5 -16 -23 -26 -16 -7
-4 -4 0 -11 -18 -22 -16 -7
-4 -6 5 -6 -13 -19 -15 -8
-4 -7 9 0 -8 -16 -15 -8
-5 -8 10 2 -6 -15 -14 -9
-5 -8 11 3 -5 -13 -14 -9
-5 -7 12 4 -4 -12 -13 -9
-5 -7 13 6 -2 -11 -13 -9
-5 -7 13 7 0 -10 -13 -9
-5 -6 14 8 1 -9 -12 -9
-4 -6 14 8 1 -9 -12 -9
-3 -6 14 7 1 -9 -12 -9
0 -6 14 7 1 -9 -12 -9
1 -6 14 7 1 -9 -12 -9
1 -5 15 6 1 -9 -12 -9
-2 -7 15 6 2 -8 -12 -9
-4 -8 15 6 3 -8 -12 -9
-6 -9 15 6 4 -7 -12 -9
-8 -10 15 6 4 -7 -12 -9
-9 -11 16 7 5 -6 -11 -10
-8 -9 16 7 5 -6 -11 -10
-7 -8 17 7 5 -6 -11 -10
-6 -7 17 7 5 -6 -11 -10
-6 -6 17 7 5 -6 -11 -10
-5 -5 18 8 6 -5 -10 -10
-5 -5 19 9 7 -5 -10 -9
-6 -5 20 9 7 -4 -10 -9
-6 -5 21 10 8 -4 -10 -8
-6 -5 22 10 8 -4 -10 -8
-7 -4 23 11 9 -3 -9 -7
-6 -4 23 11 9 -3 -9 -7
-5 -4 23 11 9 -3 -8 -8
-4 -4 23 11 9 -3 -8 -8
-4 -4 23 11 9 -3 -8 -8
-3 -3 22 10 9 -4 -7 -9
-3 -3 22 10 9 -4 -7 -9
-3 -3 22 10 10 -3 -7 -8
-3 -3 22 10 10 -3 -7 -8
-3 -3 22 10 10 -3 -7 -8
-4 -4 22 11 11 -2 -8 -7
-4 -4 22 12 11 -2 -8 -7
-4 -4 22 12 12 -2 -7 -7
-4 -4 22 13 12 -2 -7 -7
-4 -4 22 13 12 -2 -7 -7
-4 -3 22 14 13 0 -6 -8
-6 -4 22 15 13 1 -6 -7
-7 -4 22 16 13 1 -6 -7
-8 -5 22 17 13 2 -6 -6
-9 -5 22 17 13 2 -6 -6
-9 -6 23 18 13 3 -5 -5
-8 -5 23 18 13 3 -5 -4
-6 -4 23 18 14 3 -4 -4
-4 -3 23 18 14 3 -4 -3
-3 -3 23 18 14 3 -4 -3
-2 -2 24 17 15 3 -3 -2
0 0 24 18 15 3 -3 -2
0 0 24 19 16 3 -3 -2
1 1 24 20 16 3 -3 -2
1 1 24 20 16 3 -3 -2
2 2 25 22 17 4 -2 -2
2 2 25 23 18 5 0 -2
3 1 25 24 19 6 0 0
3 1 25 26 20 7 1 0
3 1 25 27 20 7 1 0
4 1 25 28 22 8 3 2
4 3 26 29 24 9 4 4
4 5 27 29 27 10 5 5
4 7 29 30 29 11 7 7
4 9 30 30 31 11 8 9
5 10 31 31 32 12 9 10
6 9 30 31 31 12 9 10
6 9 29 31 30 13 9 10
7 8 28 31 29 13 9 10
7 8 27 31 29 13 9 10
8 7 26 32 28 14 9 9
9 8 27 34 30 15 9 9
10 8 28 35 31 16 10 9
11 9 29 36 32 17 10 9
11 9 30 37 33 18 10 9
12 11 31 38 34 19 12 11
12 14 32 39 35 20 14 13
11 17 33 40 36 21 16 15
11 19 34 42 37 22 18 17
11 22 35 43 37 23 20 19
11 23 36 44 38 24 21 20
13 24 36 44 38 24 21 21
14 25 36 43 37 24 21 21
16 26 36 43 37 24 21 22
18 26 36 43 37 24 21 22
18 26 36 40 35 24 22 23
16 24 36 39 34 23 22 23
14 23 35 38 33 23 21 22
12 21 35 36 31 22 21 22
10 19 35 35 30 22 21 22
11 19 34 33 29 21 20 21
13 22 34 32 28 21 20 22
16 25 33 31 27 20 21 23
19 27 33 29 26 20 21 24
22 30 33 28 25 20 21 25
22 31 32 26 23 19 22 26
20 30 31 25 22 19 21 25
17 29 31 23 20 19 21 24
15 28 30 22 19 19 20 23
13 27 30 20 17 19 20 22
12 26 29 19 16 18 19 21
12 25 28 19 16 17 18 21
12 24 27 19 16 17 17 21
12 23 27 19 16 16 17 21
12 22 26 19 16 16 16 21
