I II V1 V2 V3 V4 V5 V6
25 21 24 66 39 32 -14 12
36 25 23 63 42 38 -5 21
18 27 32 68 49 50 1 28
5 19 31 66 50 48 0 26
0 14 29 61 48 48 -1 27
-11 19 36 64 58 60 7 37
-24 14 31 57 45 44 -9 25
-4 14 22 45 35 31 -16 16
7 18 18 39 31 29 -16 17
0 21 18 37 25 24 -20 15
14 18 7 24 10 7 -34 4
23 20 8 23 14 17 -23 12
4 15 13 26 17 24 -23 14
1 15 13 26 18 24 -25 13
-1 14 13 23 18 24 -26 15
-11 21 22 28 30 37 -18 25
-16 20 20 26 22 27 -30 18
1 16 9 11 10 12 -40 10
6 12 4 3 3 8 -42 9
-2 9 3 2 -2 2 -47 6
10 6 -7 -8 -19 -15 -61 -6
25 13 -4 -8 -14 -6 -55 -1
9 10 1 -3 -8 1 -53 4
-5 4 2 -3 -8 1 -57 2
-8 1 2 -4 -6 3 -56 4
-23 2 10 4 4 16 -49 13
-32 -3 7 4 -4 4 -62 4
-7 0 -2 -10 -12 -6 -67 -1
3 2 -3 -13 -14 -6 -66 0
-5 -3 -2 -12 -18 -11 -70 -3
10 -6 -12 -22 -34 -29 -85 -13
22 -2 -10 -21 -29 -19 -77 -6
7 0 -3 -13 -20 -10 -73 0
-2 3 0 -9 -18 -10 -75 -1
-2 1 -2 -12 -18 -10 -79 -3
-16 1 4 -5 -7 3 -70 6
-32 -6 3 -7 -15 -8 -84 -2
-12 -5 -4 -15 -20 -14 -87 -6
-7 -4 -4 -18 -21 -14 -86 -5
-13 -8 -6 -18 -25 -19 -91 -9
1 -14 -17 -30 -41 -35 -105 -20
5 -9 -15 -26 -35 -25 -95 -11
-11 -11 -7 -19 -27 -17 -93 -6
-18 -14 -6 -19 -27 -18 -95 -8
-13 -14 -7 -20 -28 -18 -99 -11
-18 -7 2 -11 -12 -2 -88 1
-34 -12 1 -12 -19 -12 -100 -6
-19 -11 -5 -19 -24 -18 -102 -7
-5 -6 -6 -22 -26 -17 -102 -7
-9 -1 -5 -20 -27 -19 -103 -6
2 0 -11 -26 -36 -30 -111 -13
14 2 -10 -26 -30 -20 -101 -8
1 -4 -5 -20 -26 -14 -102 -6
-10 -14 -4 -18 -25 -13 -104 -7
-7 -17 -5 -20 -25 -16 -107 -9
-21 -14 2 -12 -13 -3 -99 0
-39 -17 2 -12 -19 -11 -109 -6
-24 -14 -5 -22 -27 -22 -116 -11
-14 -13 -8 -24 -28 -22 -114 -11
-18 -16 -7 -22 -30 -25 -115 -12
3 -11 -15 -30 -41 -40 -125 -19
22 2 -10 -27 -33 -26 -112 -9
1 -2 -3 -18 -23 -16 -107 -4
-6 2 -1 -16 -21 -14 -109 -3
-6 1 -2 -16 -21 -15 -109 -3
-26 -2 8 -8 -10 -1 -100 4
-38 -5 10 -5 -11 -7 -106 0
-18 -9 1 -15 -20 -20 -110 -7
-9 -9 -3 -18 -27 -24 -112 -11
-14 -8 -2 -19 -27 -25 -112 -12
-5 -15 -11 -27 -38 -39 -120 -21
13 -6 -11 -26 -33 -29 -111 -14
2 -7 -4 -18 -25 -19 -104 -7
-14 -10 1 -15 -20 -16 -101 -5
-13 -10 1 -14 -19 -16 -98 -5
-36 -17 5 -11 -10 -5 -90 1
-59 -30 3 -11 -18 -16 -102 -8
-35 -27 -4 -20 -24 -24 -104 -13
-22 -12 0 -16 -21 -20 -96 -8
-25 -2 5 -9 -19 -20 -98 -7
1 -4 -6 -19 -34 -38 -110 -19
17 -3 -6 -19 -27 -29 -101 -11
7 -2 1 -12 -20 -19 -93 -6
-6 -6 4 -10 -18 -18 -91 -7
-6 -9 4 -10 -17 -17 -89 -6
-15 -8 10 -3 -4 -2 -77 4
-26 -13 9 -4 -11 -11 -87 -3
-13 -11 3 -12 -19 -21 -90 -8
-16 -12 3 -12 -18 -19 -86 -9
-21 -11 5 -10 -19 -20 -89 -11
-3 -11 -4 -18 -32 -36 -99 -20
8 -10 -4 -18 -26 -28 -91 -14
-2 -3 2 -11 -19 -19 -88 -10
-8 -6 4 -10 -19 -18 -88 -9
-3 -12 1 -13 -21 -20 -87 -11
-21 -16 8 -6 -8 -5 -74 0
-42 -29 7 -8 -14 -13 -81 -7
-23 -30 0 -12 -21 -23 -84 -12
-11 -18 0 -15 -20 -22 -82 -11
-19 -12 2 -14 -21 -23 -81 -11
-2 -10 -5 -19 -32 -36 -91 -19
12 -5 -3 -18 -25 -27 -81 -11
-7 -6 2 -14 -21 -23 -80 -11
-16 -4 4 -9 -18 -20 -80 -10
-15 -11 5 -9 -17 -20 -80 -11
-30 -14 12 -3 -6 -6 -69 -1
-38 -16 9 -5 -13 -16 -77 -9
-19 -18 1 -13 -22 -25 -80 -14
-8 -14 -1 -16 -23 -28 -78 -16
-15 -16 -2 -17 -25 -31 -80 -17
-3 -16 -11 -25 -39 -46 -93 -26
13 -7 -7 -23 -31 -34 -82 -18
-12 -11 -2 -16 -24 -27 -76 -13
-22 -11 0 -11 -24 -28 -79 -15
-15 -12 1 -12 -22 -26 -77 -15
-24 -12 6 -7 -12 -14 -68 -7
-36 -14 6 -6 -18 -22 -75 -13
-17 -16 -1 -18 -27 -31 -78 -19
-15 -18 -4 -22 -28 -32 -78 -20
-22 -22 -2 -19 -28 -32 -77 -19
0 -15 -8 -25 -38 -42 -84 -24
12 -11 -9 -26 -34 -36 -77 -21
-7 -17 -6 -21 -29 -31 -73 -19
-18 -23 -5 -19 -29 -31 -75 -19
-14 -19 -2 -16 -25 -29 -73 -17
-23 -14 5 -11 -13 -16 -61 -9
-41 -20 6 -9 -20 -24 -67 -14
-20 -20 2 -15 -25 -29 -68 -16
-15 -18 -1 -18 -25 -30 -66 -16
-15 -16 -1 -18 -28 -33 -68 -17
3 -13 -7 -24 -38 -44 -75 -24
13 -7 -6 -23 -31 -34 -65 -17
-2 -10 -1 -17 -24 -27 -61 -12
-14 -10 1 -15 -24 -26 -60 -14
-16 -15 2 -14 -23 -28 -60 -14
-26 -17 8 -9 -14 -14 -49 -6
-44 -23 7 -10 -20 -23 -58 -14
-27 -23 0 -18 -28 -34 -63 -19
-10 -15 0 -19 -28 -32 -60 -17
-20 -18 -2 -18 -31 -35 -62 -19
-10 -27 -13 -30 -43 -50 -75 -29
0 -27 -14 -33 -39 -42 -65 -24
-13 -28 -11 -30 -36 -38 -64 -24
-21 -27 -5 -23 -31 -34 -60 -21
-26 -25 -2 -19 -26 -32 -56 -18
-29 -14 6 -13 -15 -19 -45 -10
-39 -18 5 -13 -22 -27 -53 -17
-25 -19 -2 -21 -29 -37 -57 -22
-20 -17 -3 -22 -29 -37 -56 -22
-25 -18 -2 -22 -33 -37 -58 -24
-12 -23 -11 -29 -44 -52 -72 -33
6 -19 -12 -31 -39 -43 -64 -27
-16 -25 -6 -25 -32 -36 -59 -22
-25 -24 -1 -19 -29 -33 -54 -19
-11 -15 1 -17 -24 -29 -49 -14
-13 -7 8 -12 -14 -17 -38 -7
-26 -8 8 -12 -21 -25 -46 -13
-16 -19 -2 -23 -31 -38 -51 -21
-21 -27 -6 -26 -33 -40 -53 -24
-30 -31 -5 -25 -35 -42 -55 -26
-14 -25 -12 -30 -45 -53 -65 -31
5 -17 -9 -28 -36 -42 -53 -23
-14 -26 -7 -27 -33 -36 -49 -21
-22 -24 -3 -23 -29 -34 -47 -20
-11 -17 0 -20 -25 -31 -41 -17
-18 -15 7 -14 -13 -17 -28 -7
-32 -17 8 -14 -21 -26 -36 -14
-16 -16 0 -21 -29 -35 -41 -20
-15 -21 -5 -27 -33 -39 -44 -23
-20 -21 -4 -26 -35 -41 -48 -24
-8 -28 -14 -36 -49 -57 -63 -35
8 -25 -16 -38 -45 -54 -58 -31
-10 -26 -7 -28 -34 -43 -50 -24
-23 -30 -6 -26 -35 -41 -49 -25
-28 -31 -3 -24 -31 -38 -43 -23
-34 -23 6 -15 -17 -22 -29 -10
-44 -25 5 -16 -23 -30 -37 -16
-21 -17 1 -20 -28 -38 -40 -19
-10 -11 2 -20 -28 -36 -36 -18
-20 -19 1 -21 -31 -41 -41 -22
-7 -25 -10 -29 -43 -56 -54 -33
7 -18 -8 -30 -39 -48 -48 -28
-11 -15 1 -20 -30 -38 -42 -22
-13 -12 4 -16 -26 -36 -39 -22
-12 -16 1 -21 -27 -37 -40 -24
-23 -16 8 -13 -16 -23 -28 -15
-39 -15 9 -11 -19 -29 -31 -17
-22 -11 3 -19 -24 -36 -34 -19
-13 -9 1 -20 -25 -35 -31 -19
-15 -6 3 -18 -24 -36 -30 -18
-1 -8 -4 -25 -35 -48 -40 -27
20 2 -4 -25 -29 -40 -32 -22
2 -1 0 -20 -23 -34 -29 -20
-11 -7 1 -18 -21 -33 -31 -21
-9 -6 0 -17 -19 -30 -25 -18
-15 1 6 -10 -7 -15 -13 -8
-26 -5 3 -11 -13 -22 -19 -13
-15 -13 -8 -21 -23 -32 -25 -18
-9 -13 -8 -22 -23 -33 -24 -17
-7 -10 -6 -20 -23 -34 -25 -16
-2 -16 -13 -28 -34 -46 -34 -25
9 -7 -9 -25 -26 -38 -26 -19
-4 -11 -5 -21 -22 -32 -23 -18
-17 -14 -3 -19 -22 -33 -25 -19
-15 -15 -3 -21 -22 -33 -24 -19
-17 -13 3 -16 -14 -22 -14 -11
-33 -19 0 -17 -22 -32 -24 -18
-18 -19 -3 -20 -25 -38 -25 -20
-19 -18 -3 -19 -24 -35 -21 -17
-21 -21 -4 -21 -28 -39 -24 -19
-3 -26 -13 -30 -40 -51 -35 -29
11 -24 -13 -31 -34 -44 -27 -25
