I II V1 V2 V3 V4 V5 V6
-5 5 26 14 12 2 1 -3
-5 5 26 14 12 2 1 -3
-5 6 26 14 12 2 1 -2
-5 7 27 15 12 2 1 -2
-5 8 27 15 12 2 1 0
-5 8 27 15 12 2 1 0
-4 10 28 16 12 3 2 1
-4 12 27 16 12 4 3 1
-3 13 26 16 13 5 4 1
-3 15 25 16 13 6 5 1
-3 16 24 16 13 6 5 1
-2 17 22 15 13 7 6 2
-2 17 21 14 12 7 6 3
0 17 20 12 10 6 6 4
0 17 19 11 9 6 6 5
0 17 18 10 8 6 6 5
1 17 16 9 7 5 6 6
1 17 14 9 7 5 7 6
2 18 13 8 7 5 7 6
2 18 11 8 7 5 8 6
2 18 10 8 7 5 8 6
3 19 9 7 6 5 9 7
4 19 9 7 6 5 9 7
5 20 9 7 5 5 9 8
6 20 9 7 5 5 9 8
7 20 9 7 5 5 9 8
8 20 8 6 4 6 10 9
8 18 8 6 4 6 10 9
8 16 8 6 4 6 10 9
8 14 8 6 4 6 10 9
8 13 8 6 4 6 10 9
7 12 7 6 4 5 10 8
7 12 7 6 3 3 8 6
8 12 7 5 1 2 6 3
8 12 7 5 0 0 4 1
8 12 7 5 -2 -2 2 -2
7 7 7 3 -3 -3 1 -3
4 3 5 1 -4 -4 0 -4
2 -2 4 -2 -5 -5 -2 -4
-2 -6 2 -4 -6 -6 -3 -5
-4 -10 1 -6 -7 -7 -3 -5
-5 -11 0 -7 -8 -8 -5 -6
-5 -12 0 -7 -9 -8 -6 -6
-6 -13 0 -7 -10 -9 -7 -6
-6 -14 0 -7 -11 -9 -8 -6
-6 -14 0 -7 -11 -9 -9 -6
-7 -16 -2 -8 -12 -10 -10 -7
-7 -17 -3 -9 -12 -10 -10 -7
-8 -18 -3 -9 -12 -10 -9 -7
-8 -19 -4 -10 -12 -10 -9 -7
-8 -20 -4 -10 -12 -10 -9 -7
-9 -21 -5 -11 -12 -11 -9 -7
-8 -20 -5 -11 -12 -11 -10 -8
-7 -19 -5 -11 -12 -11 -11 -9
-6 -18 -5 -11 -12 -11 -12 -10
-5 -17 -5 -11 -12 -11 -13 -11
-2 -16 -5 -8 -10 -9 -12 -11
2 -16 -5 -4 -6 -6 -10 -9
4 -16 -5 1 -3 -4 -8 -7
7 -16 -5 5 2 0 -6 -5
9 -16 -5 8 5 2 -4 -4
13 -10 -4 16 17 14 6 4
17 -2 -3 24 29 27 15 10
20 7 -2 32 42 40 24 17
24 15 0 39 54 53 33 24
27 23 1 48 66 66 43 30
35 35 -14 49 82 90 59 42
44 48 -30 50 99 113 76 54
52 60 -47 51 116 137 94 66
60 73 -63 52 133 161 111 77
68 86 -79 53 150 185 129 90
72 110 -100 46 153 204 147 107
75 136 -120 36 155 224 167 126
79 162 -141 27 157 243 186 144
84 188 -161 18 159 263 205 162
87 214 -182 9 161 282 225 181
70 212 -213 -65 81 220 194 169
51 206 -243 -144 -5 151 159 152
31 201 -275 -222 -91 82 125 136
12 196 -306 -300 -177 13 90 119
-8 191 -338 -379 -263 -56 55 104
-15 152 -342 -399 -296 -99 21 77
-21 111 -345 -416 -325 -140 -13 51
-27 70 -347 -434 -354 -181 -47 24
-33 28 -350 -451 -384 -222 -80 -4
-39 -13 -352 -468 -413 -263 -114 -30
-40 -16 -316 -423 -378 -246 -115 -35
-40 -17 -275 -372 -337 -225 -112 -40
-41 -18 -234 -322 -295 -202 -110 -45
-41 -19 -194 -271 -254 -181 -107 -49
-41 -20 -153 -221 -212 -159 -105 -53
-41 -21 -130 -189 -184 -141 -96 -51
-39 -22 -108 -159 -157 -123 -88 -47
-37 -23 -86 -130 -130 -105 -78 -43
-35 -24 -63 -100 -103 -87 -69 -38
-34 -24 -40 -70 -76 -69 -60 -34
-28 -23 -31 -58 -64 -60 -55 -31
-23 -21 -23 -47 -55 -53 -51 -29
-17 -18 -15 -35 -45 -45 -47 -26
-12 -16 -7 -24 -34 -37 -41 -24
-6 -14 2 -13 -24 -29 -37 -22
-6 -16 5 -9 -20 -28 -36 -21
-8 -21 7 -5 -17 -27 -37 -22
-10 -25 10 0 -13 -26 -38 -23
-12 -29 13 3 -9 -25 -39 -24
-14 -33 15 7 -6 -24 -39 -24
-13 -33 17 10 -3 -21 -39 -24
-11 -31 18 13 0 -19 -37 -23
-9 -29 20 16 3 -16 -35 -21
-7 -27 21 18 6 -13 -33 -20
-5 -25 22 21 8 -11 -32 -19
-4 -24 24 24 10 -10 -31 -18
-4 -25 26 26 12 -10 -32 -18
-4 -26 28 28 14 -10 -32 -18
-4 -27 30 30 16 -10 -33 -18
-4 -27 31 32 17 -10 -33 -18
-4 -28 32 33 18 -9 -34 -19
-4 -27 33 34 19 -8 -34 -19
-4 -26 34 35 20 -7 -33 -19
-4 -25 35 36 21 -6 -33 -19
-4 -25 35 36 21 -6 -33 -19
-4 -24 37 38 22 -5 -32 -18
-4 -24 39 42 23 -5 -32 -18
-4 -24 40 44 23 -5 -32 -18
-4 -24 43 46 24 -5 -32 -18
-4 -24 44 48 24 -5 -32 -18
-3 -25 46 50 26 -4 -33 -17
-2 -25 47 51 27 -3 -33 -17
-2 -25 48 53 29 0 -32 -17
0 -25 49 54 30 1 -32 -17
0 -25 50 55 31 2 -32 -17
1 -26 52 57 33 3 -31 -16
1 -26 54 60 35 3 -32 -16
1 -26 55 62 37 3 -33 -16
1 -26 57 64 39 3 -34 -16
1 -26 58 66 42 3 -35 -16
2 -26 60 69 45 4 -36 -16
3 -26 62 71 48 5 -35 -16
3 -25 64 73 51 6 -34 -16
4 -25 66 76 53 7 -33 -16
4 -25 68 78 56 8 -33 -16
7 -23 71 82 59 10 -31 -15
9 -21 74 87 62 11 -29 -14
12 -20 77 90 65 13 -27 -13
15 -18 80 94 67 14 -26 -12
17 -17 84 98 70 15 -24 -11
17 -17 85 100 71 16 -23 -10
15 -19 86 101 72 16 -22 -11
13 -21 86 103 73 16 -21 -12
12 -22 87 104 74 16 -20 -13
10 -24 87 105 75 16 -19 -14
9 -25 89 108 76 17 -17 -15
9 -25 91 110 76 18 -15 -14
9 -26 93 112 76 20 -13 -14
9 -26 94 115 76 21 -12 -13
9 -26 96 117 76 22 -10 -13
9 -26 97 118 77 23 -9 -12
9 -25 97 118 78 22 -8 -12
9 -23 97 117 78 21 -7 -12
9 -22 97 117 79 20 -6 -12
9 -21 97 117 79 20 -6 -12
10 -20 97 115 79 19 -5 -13
10 -21 96 113 77 18 -5 -13
10 -22 95 111 75 18 -5 -13
10 -23 94 110 74 17 -5 -13
10 -23 94 108 72 17 -5 -13
9 -23 92 106 70 16 -3 -12
9 -22 90 103 67 15 -2 -12
9 -21 88 101 65 15 1 -11
9 -20 87 99 63 14 3 -11
9 -19 85 97 61 14 4 -11
8 -18 84 94 59 13 6 -10
8 -18 82 92 58 12 7 -9
8 -19 82 90 56 12 8 -9
8 -19 81 87 54 11 9 -8
8 -19 81 85 53 11 10 -8
7 -20 78 81 51 10 11 -7
7 -19 75 77 48 9 11 -7
7 -18 72 74 46 9 12 -7
